Price,Close
Ticker,AAPL
Date,
2010-01-04,6.412383079528809
2010-01-05,6.423468589782715
2010-01-06,6.3212971687316895
2010-01-07,6.309607982635498
2010-01-08,6.351557731628418
2010-01-11,6.295528411865234
2010-01-12,6.22391414642334
2010-01-13,6.31170654296875
2010-01-14,6.275152206420898
2010-01-15,6.170281887054443
2010-01-19,6.443244457244873
2010-01-20,6.3440680503845215
2010-01-21,6.234402656555176
2010-01-22,5.925184726715088
2010-01-25,6.084589004516602
2010-01-26,6.170580863952637
2010-01-27,6.228710174560547
2010-01-28,5.97132682800293
2010-01-29,5.754694938659668
2010-02-01,5.834696292877197
2010-02-02,5.868554592132568
2010-02-03,5.969529628753662
2010-02-04,5.754395008087158
2010-02-05,5.856569290161133
2010-02-08,5.8164191246032715
2010-02-09,5.87844181060791
2010-02-10,5.846380233764648
2010-02-11,5.952749729156494
2010-02-12,6.003986358642578
2010-02-16,6.094475746154785
2010-02-17,6.06900691986084
2010-02-18,6.080393314361572
2010-02-19,6.042638778686523
2010-02-22,6.005185604095459
2010-02-23,5.9045090675354
2010-02-24,6.012375831604004
2010-02-25,6.0525288581848145
2010-02-26,6.13102912902832
2010-03-01,6.261969566345215
2010-03-02,6.257772922515869
2010-03-03,6.27215576171875
2010-03-04,6.313504695892334
2010-03-05,6.56040096282959
2010-03-08,6.564295768737793
2010-03-09,6.682348728179932
2010-03-10,6.736881732940674
2010-03-11,6.756657123565674
2010-03-12,6.789619445800781
2010-03-15,6.706920146942139
2010-03-16,6.725197792053223
2010-03-17,6.715310096740723
2010-03-18,6.7311882972717285
2010-03-19,6.659278869628906
2010-03-22,6.734185695648193
2010-03-23,6.8423542976379395
2010-03-24,6.872614860534668
2010-03-25,6.7911152839660645
2010-03-26,6.918460369110107
2010-03-29,6.963102340698242
2010-03-30,7.066774845123291
2010-03-31,7.0413079261779785
2010-04-01,7.07036828994751
2010-04-05,7.145880222320557
2010-04-06,7.177340507507324
2010-04-07,7.209099292755127
2010-04-08,7.189624786376953
2010-04-09,7.244752407073975
2010-04-12,7.259734630584717
2010-04-13,7.263935089111328
2010-04-14,7.361611366271973
2010-04-15,7.458393096923828
2010-04-16,7.412845611572266
2010-04-19,7.402957916259766
2010-04-20,7.3286519050598145
2010-04-21,7.767008304595947
2010-04-22,7.984242916107178
2010-04-23,8.11487865447998
2010-04-26,8.075029373168945
2010-04-27,7.851505279541016
2010-04-28,7.838321208953857
2010-04-29,8.049263000488281
2010-04-30,7.823040962219238
2010-05-03,7.980647087097168
2010-05-04,7.7508320808410645
2010-05-05,7.670230865478516
2010-05-06,7.378393173217773
2010-05-07,7.067074775695801
2010-05-10,7.6103010177612305
2010-05-11,7.686110973358154
2010-05-12,7.853003025054932
2010-05-13,7.741244316101074
2010-05-14,7.605207920074463
2010-05-17,7.617194175720215
2010-05-18,7.561463832855225
2010-05-19,7.441014766693115
2010-05-20,7.124004364013672
2010-05-21,7.260638236999512
2010-05-24,7.39367151260376
2010-05-25,7.34752893447876
2010-05-26,7.31427001953125
2010-05-27,7.591129779815674
2010-05-28,7.696896553039551
2010-06-01,7.815248489379883
2010-06-02,7.908738613128662
2010-06-03,7.883865833282471
2010-06-04,7.669331073760986
2010-06-07,7.518916130065918
2010-06-08,7.470676422119141
2010-06-09,7.287003993988037
2010-06-10,7.506031036376953
2010-06-11,7.595921516418457
2010-06-14,7.618990898132324
2010-06-15,7.781093597412109
2010-06-16,8.007611274719238
2010-06-17,8.146041870117188
2010-06-18,8.211962699890137
2010-06-21,8.095107078552246
2010-06-22,8.20536994934082
2010-06-23,8.119073867797852
2010-06-24,8.06004810333252
2010-06-25,7.9911346435546875
2010-06-28,8.03907299041748
2010-06-29,7.675623893737793
2010-06-30,7.536597728729248
2010-07-01,7.445207118988037
2010-07-02,7.399065017700195
2010-07-06,7.449700832366943
2010-07-07,7.750530242919922
2010-07-08,7.733153343200684
2010-07-09,7.77899694442749
2010-07-12,7.709181785583496
2010-07-13,7.544683456420898
2010-07-14,7.572551727294922
2010-07-15,7.5341997146606445
2010-07-16,7.487756252288818
2010-07-19,7.358315944671631
2010-07-20,7.5473809242248535
2010-07-21,7.617793083190918
2010-07-22,7.761016845703125
2010-07-23,7.7885847091674805
2010-07-26,7.768810272216797
2010-07-27,7.912630081176758
2010-07-28,7.819145679473877
2010-07-29,7.733750820159912
2010-07-30,7.707988262176514
2010-08-02,7.845814228057861
2010-08-03,7.848207950592041
2010-08-04,7.879673957824707
2010-08-05,7.841318130493164
2010-08-06,7.793079376220703
2010-08-09,7.842818260192871
2010-08-10,7.77269983291626
2010-08-11,7.49644660949707
2010-08-12,7.544386863708496
2010-08-13,7.463786602020264
2010-08-16,7.420040130615234
2010-08-17,7.549779415130615
2010-08-18,7.582736492156982
2010-08-19,7.487157344818115
2010-08-20,7.4799652099609375
2010-08-23,7.364908218383789
2010-08-24,7.189024448394775
2010-08-25,7.277714252471924
2010-08-26,7.199512004852295
2010-08-27,7.239661693572998
2010-08-30,7.266028881072998
2010-08-31,7.284007549285889
2010-09-01,7.500637054443359
2010-09-02,7.555771350860596
2010-09-03,7.753525733947754
2010-09-07,7.724764823913574
2010-09-08,7.877872467041016
2010-09-09,7.88236665725708
